Customer_ID,Region,Age_Band,Account_Type,Account_Tenure_Years
101328,London,18-24,Current,12.6
101329,North West,18-24,Current,2.8
101330,West Midlands,45-54,Current,14.2
101331,South East,45-54,Current,18.1
101332,London,18-24,Current,10.5
101333,London,35-44,Current,19.0
101334,North East,45-54,Student,8.8
101335,North East,45-54,Current,17.2
101336,East of England,55-64,Savings,15.5
101337,West Midlands,35-44,Premier,1.9
101338,London,45-54,Savings,18.3
101339,East of England,45-54,Savings,18.2
101340,Yorkshire and Humber,35-44,Current,7.1
101341,West Midlands,18-24,Current,15.9
101342,South West,18-24,Current,4.6
101343,London,55-64,Current,0.7
101344,London,25-34,Current,4.2
101345,Wales,45-54,Current,9.7
101346,London,45-54,Current,1.2
101347,Yorkshire and Humber,35-44,Savings,3.3
101348,Yorkshire and Humber,55-64,Current,19.0
101349,Yorkshire and Humber,55-64,Current,9.9
101350,West Midlands,18-24,Current,16.5
101351,South West,55-64,Current,4.2
101352,South West,45-54,Current,1.9
101353,North West,35-44,Current,15.6
101354,North West,55-64,Current,7.0
101355,East of England,45-54,Current,9.3
101356,East Midlands,35-44,Premier,19.8
101357,London,65+,Current,6.4
101358,London,45-54,Current,9.5
101359,South East,45-54,Savings,12.7
101360,West Midlands,18-24,Student,1.9
101361,South East,35-44,Premier,14.4
101362,Yorkshire and Humber,35-44,Current,9.1
101363,London,45-54,Current,3.6
101364,East Midlands,45-54,Current,8.7
101365,London,55-64,Savings,9.3
101366,London,25-34,Current,12.9
101367,North West,55-64,Premier,18.7
101368,West Midlands,55-64,Current,15.3
101369,West Midlands,55-64,Current,7.7
101370,Yorkshire and Humber,55-64,Current,19.4
101371,West Midlands,65+,Current,15.8
101372,North East,25-34,Current,0.7
101373,Yorkshire and Humber,55-64,Savings,2.4
101374,South West,65+,Current,4.4
101375,Wales,45-54,Current,1.8
101376,East Midlands,25-34,Savings,9.8
101377,South East,65+,Premier,6.9
101378,East of England,25-34,Savings,19.5
101379,London,35-44,Savings,9.5
101380,Yorkshire and Humber,25-34,Current,4.3
101381,London,35-44,Premier,19.4
101382,East Midlands,35-44,Current,10.3
101383,London,45-54,Premier,1.6
101384,Wales,65+,Savings,1.7
101385,North East,35-44,Current,13.5
101386,East Midlands,45-54,Current,9.9
101387,South East,65+,Savings,12.5
101388,North West,55-64,Savings,17.0
101389,East of England,25-34,Current,13.7
101390,East Midlands,18-24,Premier,17.2
101391,North East,45-54,Current,14.9
101392,South West,55-64,Current,13.5
101393,West Midlands,45-54,Current,2.8
101394,East Midlands,25-34,Current,9.7
101395,South West,55-64,Current,8.7
101396,West Midlands,45-54,Premier,10.9
101397,London,45-54,Current,7.9
101398,East of England,65+,Student,12.4
101399,London,55-64,Savings,7.9
101400,Yorkshire and Humber,45-54,Current,11.2
101401,London,45-54,Student,8.0
101402,East Midlands,45-54,Savings,18.0
101403,North East,45-54,Current,7.5
101404,North West,35-44,Current,14.6
101405,West Midlands,55-64,Current,12.3
101406,North West,45-54,Current,7.8
101407,North East,35-44,Current,16.2
101408,West Midlands,25-34,Current,18.6
101409,East of England,55-64,Premier,15.2
101410,South East,45-54,Savings,19.0
101411,South West,35-44,Savings,8.8
101412,Wales,35-44,Premier,18.3
101413,South West,25-34,Current,17.5
101414,North East,65+,Current,15.3
101415,West Midlands,65+,Savings,16.7
101416,South West,45-54,Current,14.6
101417,London,35-44,Current,10.3
101418,London,55-64,Savings,11.1
101419,East of England,45-54,Current,8.4
101420,Wales,65+,Current,13.3
101421,South East,18-24,Current,6.6
101422,London,18-24,Savings,14.8
101423,London,45-54,Current,10.2
101424,Yorkshire and Humber,25-34,Current,7.1
101425,Yorkshire and Humber,45-54,Student,3.0
101426,Yorkshire and Humber,55-64,Premier,5.2
101427,East Midlands,25-34,Current,12.8
101428,East Midlands,35-44,Current,7.5
101429,South East,45-54,Current,0.8
101430,London,55-64,Current,6.7
101431,North East,45-54,Current,7.4
101432,London,25-34,Current,4.8
101433,East Midlands,45-54,Current,5.8
101434,West Midlands,35-44,Current,14.1
101435,West Midlands,55-64,Current,15.0
101436,Wales,45-54,Savings,19.2
101437,North West,35-44,Current,2.4
101438,London,55-64,Current,6.3
101439,North East,45-54,Current,1.6
101440,Wales,25-34,Student,12.3
101441,North West,45-54,Current,0.4
101442,East Midlands,65+,Current,4.2
101443,West Midlands,55-64,Savings,11.8
101444,East Midlands,35-44,Savings,7.2
101445,West Midlands,55-64,Savings,10.9
101446,London,35-44,Current,12.8
101447,East of England,45-54,Current,16.8
101448,London,45-54,Current,7.9
101449,London,25-34,Current,5.7
101450,West Midlands,35-44,Current,10.8
101451,South West,65+,Current,1.5
101452,London,25-34,Current,0.9
101453,East of England,55-64,Premier,9.1
101454,North East,45-54,Current,4.4
101455,Yorkshire and Humber,45-54,Current,0.2
101456,West Midlands,25-34,Premier,13.6
101457,North West,25-34,Savings,16.3
101458,London,25-34,Current,3.0
101459,North East,45-54,Savings,11.3
101460,Yorkshire and Humber,65+,Current,19.7
101461,South East,65+,Savings,5.4
101462,London,18-24,Current,14.6
101463,West Midlands,35-44,Premier,3.3
101464,North West,25-34,Current,18.6
101465,South East,65+,Savings,0.1
101466,South East,25-34,Current,6.0
101467,London,25-34,Current,19.5
101468,North West,45-54,Current,13.4
101469,South East,45-54,Savings,4.3
101470,West Midlands,25-34,Current,15.8
101471,North East,45-54,Premier,18.0
101472,West Midlands,25-34,Current,9.8
101473,West Midlands,18-24,Savings,3.2
101474,London,25-34,Current,5.2
101475,London,35-44,Current,18.9
101476,London,65+,Savings,3.3
101477,London,45-54,Savings,6.3
101478,Wales,55-64,Current,3.0
101479,London,35-44,Current,2.2
101480,London,55-64,Current,10.5
101481,Yorkshire and Humber,65+,Current,8.0
101482,East Midlands,35-44,Current,1.0
101483,London,65+,Current,3.0
101484,North West,45-54,Current,0.8
101485,London,55-64,Premier,0.6
101486,East Midlands,25-34,Current,3.7
101487,Wales,45-54,Current,14.9
101488,London,45-54,Current,0.4
101489,East of England,65+,Current,6.2
101490,London,65+,Savings,11.3
101491,East Midlands,35-44,Savings,14.9
101492,South West,65+,Savings,13.6
101493,London,65+,Savings,19.8
101494,South West,45-54,Current,5.6
101495,Yorkshire and Humber,25-34,Current,0.1
101496,London,25-34,Current,0.9
101497,East of England,25-34,Premier,2.0
101498,London,25-34,Savings,19.5
101499,Yorkshire and Humber,65+,Current,11.4
101500,South East,25-34,Current,16.0
101501,South East,55-64,Current,19.7
101502,North East,45-54,Premier,16.9
101503,Yorkshire and Humber,45-54,Current,8.2
101504,Yorkshire and Humber,25-34,Current,17.5
101505,South West,45-54,Current,8.7
101506,London,45-54,Savings,2.4
101507,South East,45-54,Savings,11.0
101508,London,25-34,Current,18.3
101509,North West,55-64,Savings,15.7
101510,South East,25-34,Current,8.1
101511,West Midlands,45-54,Savings,17.1
101512,West Midlands,35-44,Current,9.3
101513,London,25-34,Current,13.7
101514,South East,55-64,Current,6.7
101515,East of England,25-34,Current,4.0
101516,North West,65+,Current,6.3
101517,West Midlands,65+,Current,17.5
101518,North East,35-44,Current,19.8
101519,West Midlands,35-44,Current,5.4
101520,West Midlands,25-34,Savings,3.4
101521,North West,65+,Current,1.5
101522,London,45-54,Current,15.1
101523,East of England,18-24,Savings,10.6
101524,South East,45-54,Current,11.2
101525,South East,25-34,Student,1.0
101526,West Midlands,45-54,Current,1.7
101527,Yorkshire and Humber,45-54,Premier,18.3
101528,London,25-34,Student,11.6
101529,West Midlands,55-64,Current,4.5
101530,North West,25-34,Current,4.2
101531,North West,45-54,Savings,4.9
101532,West Midlands,45-54,Savings,1.4
101533,London,65+,Current,1.1
101534,South East,45-54,Current,14.4
101535,East Midlands,65+,Current,5.3
101536,London,35-44,Savings,7.8
101537,South West,55-64,Savings,10.8
101538,South East,25-34,Current,6.5
101539,South West,55-64,Current,9.6
101540,London,25-34,Savings,17.3
101541,South West,65+,Premier,5.0
101542,North West,65+,Current,15.8
101543,Yorkshire and Humber,35-44,Current,5.4
101544,West Midlands,45-54,Current,3.8
101545,London,45-54,Savings,1.5
101546,Yorkshire and Humber,35-44,Current,13.7
101547,North West,45-54,Current,8.3
101548,South East,55-64,Savings,15.4
101549,North West,45-54,Current,2.7
101550,North West,25-34,Current,12.1
101551,West Midlands,65+,Current,0.4
101552,London,25-34,Current,4.8
101553,North West,45-54,Current,12.2
101554,Yorkshire and Humber,25-34,Current,1.2
101555,North West,25-34,Current,7.6
101556,South East,18-24,Current,11.3
101557,North East,35-44,Student,14.6
101558,London,45-54,Student,14.1
101559,London,45-54,Current,3.0
101560,East of England,45-54,Savings,1.6
101561,Wales,45-54,Current,7.6
101562,London,25-34,Savings,4.9
101563,East of England,18-24,Student,6.2
101564,East of England,45-54,Current,6.9
101565,South West,45-54,Current,8.0
101566,London,45-54,Current,10.4
101567,East Midlands,25-34,Current,0.3
101568,East Midlands,55-64,Current,6.0
101569,London,25-34,Current,5.4
101570,London,45-54,Savings,4.8
101571,Yorkshire and Humber,25-34,Current,15.8
101572,London,45-54,Current,5.1
101573,London,35-44,Current,3.1
101574,South West,55-64,Savings,17.1
101575,West Midlands,18-24,Current,7.7
101576,North West,45-54,Current,3.8
101577,South West,25-34,Student,15.0
101578,South West,45-54,Current,13.2
101579,Wales,25-34,Current,18.9
101580,East of England,25-34,Current,17.6
101581,East of England,55-64,Current,13.9
101582,North West,18-24,Premier,3.3
101583,Yorkshire and Humber,25-34,Current,9.7
101584,North West,55-64,Current,2.5
101585,London,55-64,Current,11.0
101586,North East,55-64,Premier,18.3
101587,Yorkshire and Humber,35-44,Student,0.2
101588,London,45-54,Current,17.5
101589,North West,55-64,Current,10.8
101590,West Midlands,25-34,Current,3.1
101591,West Midlands,55-64,Savings,17.1
101592,East Midlands,25-34,Current,10.8
101593,North East,65+,Current,9.0
101594,Yorkshire and Humber,45-54,Current,10.0
101595,South West,45-54,Premier,3.0
101596,South East,35-44,Current,2.3
101597,West Midlands,25-34,Current,13.3
101598,West Midlands,35-44,Premier,17.6
101599,South West,55-64,Current,13.9
101600,North West,45-54,Current,16.8
101601,East of England,45-54,Current,16.9
101602,West Midlands,25-34,Current,0.7
101603,South East,55-64,Current,15.4
101604,South West,35-44,Current,15.5
101605,North West,25-34,Current,7.1
101606,North West,65+,Current,8.3
101607,North East,45-54,Student,14.9
101608,North West,45-54,Current,19.7
101609,Yorkshire and Humber,65+,Savings,19.8
101610,London,35-44,Current,9.5
101611,North West,65+,Current,15.8
101612,South East,55-64,Current,9.4
101613,South East,45-54,Current,17.3
101614,Yorkshire and Humber,25-34,Current,13.0
101615,South West,18-24,Current,18.7
101616,North West,35-44,Savings,19.9
101617,East Midlands,18-24,Premier,6.7
101618,London,25-34,Current,19.6
101619,Wales,45-54,Premier,13.9
101620,East Midlands,55-64,Current,4.8
101621,West Midlands,25-34,Current,0.2
101622,London,55-64,Current,13.7
101623,South West,65+,Savings,4.5
101624,East Midlands,55-64,Savings,4.7
101625,Yorkshire and Humber,55-64,Premier,11.1
101626,South East,55-64,Savings,0.7
101627,Yorkshire and Humber,25-34,Current,8.4
101628,West Midlands,35-44,Student,16.0
101629,West Midlands,65+,Premier,0.6
101630,Yorkshire and Humber,45-54,Savings,12.5
101631,London,55-64,Current,3.3
101632,East of England,65+,Savings,17.3
101633,London,25-34,Current,7.9
101634,South East,35-44,Premier,16.3
101635,Wales,45-54,Premier,14.5
101636,Yorkshire and Humber,18-24,Savings,17.6
101637,Yorkshire and Humber,45-54,Current,10.4
101638,East of England,55-64,Current,9.8
101639,North West,45-54,Premier,0.8
101640,South East,35-44,Student,10.7
101641,South East,55-64,Savings,10.5
101642,West Midlands,25-34,Premier,12.2
101643,London,65+,Current,2.7
101644,West Midlands,25-34,Student,10.8
101645,West Midlands,65+,Current,9.1
101646,London,45-54,Current,12.0
101647,North West,35-44,Current,13.2
101648,South West,45-54,Current,7.3
101649,East of England,25-34,Current,10.1
101650,South West,35-44,Savings,8.0
101651,North West,55-64,Current,15.3
101652,North West,55-64,Savings,15.9
101653,North West,25-34,Current,5.9
101654,West Midlands,45-54,Student,5.3
101655,North East,55-64,Current,13.6
101656,Yorkshire and Humber,55-64,Savings,15.5
101657,North West,35-44,Current,0.3
101658,South West,18-24,Current,8.6
101659,Yorkshire and Humber,65+,Current,6.2
101660,East Midlands,35-44,Current,15.4
101661,West Midlands,35-44,Current,3.0
101662,London,55-64,Current,15.6
101663,South West,25-34,Current,13.3
101664,North West,55-64,Savings,16.9
101665,East of England,25-34,Current,19.8
101666,East of England,55-64,Current,9.6
101667,South West,65+,Current,14.0
101668,North West,65+,Current,14.2
101669,East Midlands,65+,Current,16.9
101670,East of England,65+,Savings,10.4
101671,North West,35-44,Current,2.2
101672,London,65+,Current,19.6
101673,South East,65+,Current,1.2
101674,West Midlands,45-54,Current,19.3
101675,South West,35-44,Savings,5.2
101676,North East,25-34,Current,9.9
101677,South East,45-54,Student,19.0
101678,London,55-64,Current,13.6
101679,East of England,35-44,Savings,11.8
101680,London,35-44,Current,6.6
101681,South East,45-54,Premier,5.9
101682,South West,18-24,Current,0.8
101683,South East,65+,Current,11.8
101684,North West,35-44,Student,8.7
101685,West Midlands,25-34,Current,4.6
101686,North West,18-24,Current,7.7
101687,London,55-64,Current,18.8
101688,London,65+,Current,17.0
101689,London,25-34,Savings,8.7
101690,Yorkshire and Humber,25-34,Current,19.6
101691,South West,35-44,Current,9.3
101692,East of England,25-34,Current,7.0
101693,North West,55-64,Premier,7.8
101694,South East,18-24,Current,17.5
101695,South East,45-54,Current,5.4
101696,London,35-44,Premier,4.5
101697,West Midlands,35-44,Current,19.2
101698,South West,35-44,Savings,14.7
101699,North East,25-34,Savings,15.3
101700,South East,25-34,Current,14.8
101701,East of England,18-24,Savings,13.7
101702,Wales,25-34,Premier,1.9
101703,Yorkshire and Humber,65+,Current,15.1
101704,London,35-44,Current,5.1
101705,London,35-44,Savings,2.7
101706,Wales,25-34,Current,19.7
101707,West Midlands,55-64,Current,0.7
101708,Yorkshire and Humber,65+,Current,0.7
101709,East of England,55-64,Student,6.3
101710,North West,45-54,Savings,16.9
101711,South West,55-64,Premier,19.6
101712,Yorkshire and Humber,35-44,Current,2.5
101713,Wales,55-64,Premier,8.0
101714,East of England,55-64,Current,14.7
101715,North West,18-24,Savings,12.9
101716,South East,35-44,Savings,4.7
101717,Yorkshire and Humber,25-34,Current,6.7
101718,London,25-34,Current,11.9
101719,South East,55-64,Current,0.8
101720,South West,18-24,Current,15.2
101721,East Midlands,55-64,Savings,5.6
101722,North West,65+,Current,16.6
101723,South East,35-44,Savings,13.7
101724,London,35-44,Current,12.9
101725,London,45-54,Current,15.4
101726,East Midlands,55-64,Savings,1.6
101727,Yorkshire and Humber,25-34,Current,5.3
101728,East of England,25-34,Premier,10.5
101729,East Midlands,45-54,Premier,15.6
101730,Yorkshire and Humber,65+,Current,17.0
101731,North East,35-44,Current,7.7
101732,East Midlands,35-44,Current,15.9
101733,South East,65+,Savings,4.5
101734,North West,25-34,Current,1.7
101735,East of England,25-34,Premier,5.0
101736,South East,45-54,Premier,18.1
101737,East of England,18-24,Current,10.9
101738,North West,25-34,Savings,9.7
101739,London,45-54,Current,14.9
101740,South East,45-54,Current,0.3
101741,North West,45-54,Current,2.5
101742,North West,35-44,Savings,2.1
101743,East Midlands,45-54,Current,2.5
101744,North East,45-54,Student,9.1
101745,South East,55-64,Current,5.7
101746,London,55-64,Savings,15.7
101747,South East,45-54,Premier,16.8
101748,London,65+,Savings,18.5
101749,London,55-64,Current,4.0
101750,London,25-34,Current,10.1
101751,London,65+,Current,1.1
101752,West Midlands,65+,Current,4.9
101753,East of England,35-44,Premier,12.3
101754,South West,18-24,Current,8.5
101755,Yorkshire and Humber,45-54,Current,13.8
101756,London,35-44,Savings,16.8
101757,West Midlands,55-64,Current,1.3
101758,Wales,45-54,Student,18.8
101759,East of England,25-34,Current,0.9
101760,East of England,25-34,Current,19.6
101761,Yorkshire and Humber,65+,Savings,12.8
101762,West Midlands,18-24,Current,1.0
101763,North West,55-64,Premier,7.9
101764,West Midlands,35-44,Current,5.2
101765,West Midlands,35-44,Current,16.0
101766,East Midlands,45-54,Current,4.6
101767,Wales,25-34,Current,16.5
101768,East Midlands,45-54,Current,6.3
101769,West Midlands,55-64,Current,19.8
101770,South West,25-34,Current,5.5
101771,London,35-44,Premier,13.7
101772,South East,55-64,Current,16.0
101773,London,55-64,Savings,4.4
101774,East of England,45-54,Current,1.6
101775,London,55-64,Savings,11.1
101776,London,25-34,Current,13.6
101777,South East,25-34,Current,16.4
101778,London,45-54,Current,5.5
101779,Yorkshire and Humber,55-64,Current,17.5
101780,London,55-64,Current,18.3
101781,West Midlands,25-34,Current,15.6
101782,South West,45-54,Student,0.3
101783,North West,45-54,Current,1.8
101784,West Midlands,25-34,Premier,20.0
101785,North West,45-54,Current,14.7
101786,South West,45-54,Current,12.6
101787,Yorkshire and Humber,25-34,Current,18.0
101788,South East,35-44,Current,0.9
101789,East of England,25-34,Savings,15.2
101790,East Midlands,65+,Current,13.1
101791,South East,25-34,Student,17.0
101792,North West,25-34,Current,15.6
101793,North West,18-24,Current,9.8
101794,South East,18-24,Current,1.5
101795,East of England,25-34,Savings,18.2
101796,North West,45-54,Current,15.3
101797,London,18-24,Premier,7.2
101798,North West,35-44,Current,19.7
101799,London,18-24,Current,6.3
101800,London,35-44,Savings,7.5
101801,London,18-24,Current,19.5
101802,London,45-54,Savings,13.4
101803,West Midlands,45-54,Current,17.6
101804,South East,55-64,Savings,17.8
101805,South East,25-34,Current,10.8
101806,South East,65+,Premier,5.4
101807,East Midlands,55-64,Current,17.0
101808,London,18-24,Savings,10.1
101809,Yorkshire and Humber,35-44,Current,11.3
101810,East Midlands,55-64,Savings,10.9
101811,North West,35-44,Student,0.3
101812,London,35-44,Student,1.0
101813,South East,45-54,Current,12.4
101814,North West,18-24,Current,15.9
101815,South West,65+,Savings,9.2
101816,London,25-34,Current,3.9
101817,South East,18-24,Savings,8.2
101818,London,18-24,Current,15.4
101819,London,35-44,Current,2.3
101820,London,65+,Current,11.2
101821,East of England,55-64,Savings,14.1
101822,London,65+,Current,8.4
101823,London,45-54,Current,12.1
101824,London,35-44,Student,17.7
101825,South East,35-44,Current,4.3
101826,East Midlands,18-24,Student,2.8
101827,London,65+,Current,1.3
101828,London,45-54,Current,14.6
101829,East of England,35-44,Current,18.0
101830,London,45-54,Current,13.8
101831,London,55-64,Savings,19.5
101832,North East,25-34,Current,14.2
101833,London,55-64,Current,5.8
101834,West Midlands,55-64,Current,5.2
101835,North West,55-64,Savings,13.4
101836,West Midlands,18-24,Savings,13.5
101837,East Midlands,25-34,Current,10.5
101838,London,35-44,Current,10.6
101839,South East,55-64,Current,8.4
101840,South East,65+,Savings,7.1
101841,East Midlands,45-54,Current,12.7
101842,London,25-34,Current,15.0
101843,West Midlands,25-34,Savings,16.3
101844,North East,45-54,Current,6.2
101845,West Midlands,25-34,Savings,17.2
101846,London,45-54,Current,6.1
101847,North West,55-64,Premier,6.2
101848,London,35-44,Current,16.1
101849,Yorkshire and Humber,35-44,Current,19.4
101850,South East,18-24,Current,18.7
101851,North West,25-34,Current,2.3
101852,East of England,55-64,Savings,5.8
101853,London,35-44,Current,15.2
101854,South East,25-34,Current,16.1
101855,South West,25-34,Savings,10.1
101856,Wales,25-34,Current,0.4
101857,North West,45-54,Savings,10.1
101858,North West,45-54,Savings,0.7
101859,North West,45-54,Current,5.7
101860,North West,45-54,Savings,13.2
101861,London,25-34,Student,2.8
101862,Wales,45-54,Savings,14.3
101863,Wales,18-24,Current,12.5
101864,London,65+,Current,8.7
101865,London,18-24,Premier,7.5
101866,East of England,35-44,Current,18.3
101867,North East,18-24,Current,11.1
101868,West Midlands,55-64,Current,17.8
101869,London,25-34,Savings,8.3
101870,South West,65+,Savings,11.9
101871,North West,18-24,Premier,19.1
101872,London,55-64,Premier,2.6
101873,Wales,45-54,Current,5.3
101874,Wales,25-34,Current,18.3
101875,East of England,25-34,Current,8.5
101876,South West,35-44,Current,5.5
101877,North West,55-64,Current,19.9
101878,North West,65+,Premier,2.1
101879,London,25-34,Current,12.3
101880,London,35-44,Current,15.8
101881,London,25-34,Current,15.8
101882,London,25-34,Current,8.9
101883,Yorkshire and Humber,45-54,Current,1.0
101884,South East,35-44,Current,16.8
101885,Yorkshire and Humber,25-34,Current,16.1
101886,Yorkshire and Humber,65+,Current,4.8
101887,West Midlands,55-64,Savings,6.9
101888,West Midlands,55-64,Savings,10.3
101889,East of England,18-24,Student,2.4
101890,London,65+,Current,16.4
101891,North West,45-54,Current,18.4
101892,South East,45-54,Current,6.2
101893,London,18-24,Premier,18.5
101894,East Midlands,65+,Current,16.0
101895,North West,45-54,Current,14.6
101896,West Midlands,55-64,Premier,19.4
101897,South East,45-54,Premier,6.6
101898,North West,55-64,Current,18.3
101899,East Midlands,55-64,Savings,2.1
101900,East Midlands,65+,Current,9.6
101901,London,25-34,Current,11.1
101902,East Midlands,25-34,Current,2.5
101903,South West,55-64,Premier,14.8
101904,West Midlands,45-54,Current,9.6
101905,London,45-54,Savings,9.2
101906,London,55-64,Current,11.7
101907,London,45-54,Savings,2.8
101908,East Midlands,55-64,Savings,4.1
101909,South West,35-44,Savings,3.7
101910,East of England,55-64,Premier,19.0
101911,East Midlands,25-34,Savings,15.5
101912,West Midlands,45-54,Savings,10.6
101913,East of England,65+,Current,13.2
101914,London,25-34,Premier,13.0
101915,West Midlands,35-44,Current,5.3
101916,West Midlands,35-44,Current,1.8
101917,South East,45-54,Current,11.1
101918,South East,35-44,Current,5.3
101919,London,25-34,Current,17.5
101920,North East,65+,Current,4.8
101921,London,25-34,Current,11.5
101922,North West,45-54,Premier,8.5
101923,London,45-54,Premier,14.9
101924,Yorkshire and Humber,18-24,Current,19.0
101925,North West,25-34,Premier,8.3
101926,East Midlands,65+,Current,1.0
101927,Yorkshire and Humber,45-54,Current,13.3
101928,South East,18-24,Premier,2.7
101929,East Midlands,55-64,Savings,2.2
101930,London,45-54,Savings,13.3
101931,London,25-34,Current,2.1
101932,London,45-54,Current,2.7
101933,South East,45-54,Current,8.8
101934,South West,25-34,Premier,9.1
101935,South East,65+,Current,18.3
101936,West Midlands,35-44,Current,5.6
101937,London,35-44,Current,8.1
101938,London,35-44,Savings,14.2
101939,North West,55-64,Current,16.6
101940,East Midlands,55-64,Savings,7.0
101941,North West,65+,Current,12.7
101942,London,25-34,Current,12.5
101943,Yorkshire and Humber,55-64,Current,6.1
101944,West Midlands,45-54,Current,2.5
101945,South West,35-44,Savings,13.7
101946,East of England,18-24,Savings,5.4
101947,West Midlands,55-64,Current,6.4
101948,East of England,25-34,Current,11.5
101949,East Midlands,45-54,Current,3.3
101950,East of England,45-54,Student,4.9
101951,North East,18-24,Premier,9.0
101952,East Midlands,65+,Savings,17.6
101953,South East,55-64,Current,15.5
101954,Wales,35-44,Current,6.4
101955,East of England,45-54,Premier,6.1
101956,Wales,35-44,Current,19.7
101957,London,55-64,Savings,13.1
101958,East Midlands,25-34,Premier,13.7
101959,South West,35-44,Savings,1.2
101960,London,35-44,Current,2.2
101961,London,35-44,Current,6.0
101962,Yorkshire and Humber,35-44,Premier,16.9
101963,London,25-34,Current,18.2
101964,West Midlands,65+,Premier,3.9
101965,South East,18-24,Current,14.3
101966,East Midlands,18-24,Savings,17.5
101967,South East,35-44,Premier,17.6
101968,South West,45-54,Current,9.2
101969,London,25-34,Current,5.2
101970,London,45-54,Current,19.1
101971,North West,55-64,Savings,5.6
101972,North East,25-34,Savings,5.1
101973,South East,65+,Current,4.2
101974,Yorkshire and Humber,35-44,Student,10.7
101975,West Midlands,45-54,Premier,2.2
101976,North West,25-34,Student,11.5
101977,London,55-64,Current,18.9
101978,North East,55-64,Premier,10.1
101979,South East,25-34,Student,19.3
101980,North West,25-34,Current,18.1
101981,East of England,35-44,Premier,15.9
101982,Yorkshire and Humber,18-24,Current,12.2
101983,East of England,65+,Premier,17.6
101984,North West,45-54,Savings,11.1
101985,London,45-54,Savings,4.2
101986,East of England,65+,Current,18.5
101987,North West,55-64,Current,10.1
101988,South East,55-64,Current,18.2
101989,Wales,35-44,Savings,7.9
101990,West Midlands,35-44,Student,6.8
101991,East Midlands,35-44,Current,15.3
101992,South East,35-44,Current,12.7
101993,Yorkshire and Humber,35-44,Savings,8.9
101994,East Midlands,25-34,Current,17.6
101995,London,35-44,Current,10.4
101996,South East,35-44,Current,0.4
101997,North West,35-44,Savings,13.9
101998,Yorkshire and Humber,25-34,Current,1.4
101999,South West,35-44,Student,9.7
102000,London,35-44,Current,3.9
102001,South West,55-64,Current,4.9
102002,London,55-64,Savings,19.6
102003,North East,25-34,Premier,2.4
102004,South East,18-24,Current,15.2
102005,West Midlands,35-44,Student,12.8
102006,East of England,25-34,Savings,4.0
102007,London,35-44,Premier,18.7
102008,West Midlands,65+,Current,4.1
102009,West Midlands,25-34,Current,10.4
102010,South East,35-44,Current,15.8
102011,East Midlands,55-64,Savings,15.3
102012,North West,45-54,Student,6.5
102013,West Midlands,18-24,Current,16.8
102014,London,25-34,Current,19.2
102015,Yorkshire and Humber,65+,Current,9.5
102016,London,25-34,Current,13.1
102017,North West,45-54,Premier,7.4
102018,East Midlands,55-64,Current,7.1
102019,London,25-34,Savings,9.4
102020,Yorkshire and Humber,55-64,Current,4.0
102021,South East,25-34,Student,13.8
102022,West Midlands,35-44,Savings,3.4
102023,East Midlands,35-44,Current,0.2
102024,North West,65+,Savings,8.8
102025,London,25-34,Student,1.6
102026,Yorkshire and Humber,25-34,Premier,11.3
102027,South West,65+,Current,10.5
102028,Yorkshire and Humber,25-34,Current,2.8
102029,London,65+,Current,5.0
102030,London,45-54,Savings,0.6
102031,East Midlands,45-54,Current,11.9
102032,London,55-64,Premier,5.9
102033,Yorkshire and Humber,55-64,Current,14.3
102034,Yorkshire and Humber,25-34,Premier,12.6
102035,West Midlands,65+,Current,7.5
102036,South West,65+,Current,0.5
102037,North East,65+,Current,6.5
102038,East Midlands,45-54,Savings,6.6
102039,London,45-54,Student,6.7
102040,South East,45-54,Current,19.1
102041,North West,18-24,Current,3.4
102042,South West,45-54,Premier,5.5
102043,London,45-54,Current,16.7
102044,East of England,45-54,Current,18.5
102045,Wales,35-44,Student,9.4
102046,East Midlands,35-44,Current,10.8
102047,London,45-54,Current,1.2
102048,London,35-44,Current,16.2
102049,West Midlands,65+,Savings,11.9
102050,Yorkshire and Humber,55-64,Current,9.6
102051,Wales,18-24,Premier,6.1
102052,East Midlands,18-24,Current,8.9
102053,London,55-64,Premier,14.7
102054,South West,35-44,Current,1.7
102055,North West,55-64,Current,10.2
102056,London,25-34,Current,0.8
102057,Wales,18-24,Current,15.5
102058,London,35-44,Current,4.3
102059,West Midlands,55-64,Student,18.1
102060,East Midlands,65+,Savings,9.6
102061,North East,65+,Savings,9.2
102062,North West,35-44,Current,7.3
102063,London,55-64,Student,10.4
102064,West Midlands,25-34,Current,6.8
102065,Yorkshire and Humber,45-54,Savings,7.3
102066,North East,65+,Savings,4.0
102067,London,35-44,Current,7.0
102068,Wales,65+,Current,16.3
102069,North West,25-34,Premier,5.0
102070,London,25-34,Current,16.4
102071,East of England,45-54,Savings,17.2
102072,London,65+,Premier,13.4
102073,North West,35-44,Current,0.7
102074,East of England,55-64,Current,11.3
102075,Yorkshire and Humber,25-34,Current,16.7
102076,London,55-64,Savings,7.4
102077,Wales,45-54,Current,5.7
102078,West Midlands,25-34,Current,6.5
102079,North West,55-64,Current,8.5
102080,East Midlands,55-64,Premier,1.5
102081,Yorkshire and Humber,45-54,Student,4.8
102082,West Midlands,25-34,Current,13.0
102083,South East,25-34,Premier,9.5
102084,West Midlands,65+,Savings,5.0
102085,South East,45-54,Premier,18.6
